Transaction Date,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence
2012-05-14,155500,3,4,0,1
2012-05-15,179200,3,4,0,1
2012-05-16,174700,3,4,0,1
2012-05-17,207600,3,4,0,1
2012-05-18,180200,3,4,0,1
2012-05-19,125200,3,4,0,1
2012-05-20,124900,3,4,0,4
2012-05-21,84400,1,4,0,1
2012-05-22,156300,1,4,0,1
2012-05-23,245700,1,4,0,1
2012-05-24,140900,1,4,0,1
2012-05-25,171300,1,4,0,1
2012-05-26,182000,2,4,0,4
2012-05-27,112200,3,4,0,1
2012-05-28,165600,3,4,0,1
2012-05-29,205500,3,4,0,1
2012-05-30,158600,3,4,0,1
2012-05-31,185100,3,4,0,1
2012-06-01,135600,3,4,0,1
2012-06-02,108000,2,4,0,4
2012-06-03,71300,3,4,0,1
2012-06-04,44400,3,4,0,1
2012-06-05,170100,3,4,0,1
2012-06-06,170400,3,4,0,1
2012-06-07,284800,3,4,0,1
2012-06-08,292000,3,4,0,1
2012-06-09,211600,2,4,0,4
2012-06-10,256000,3,4,0,1
2012-06-11,221200,3,4,0,1
2012-06-12,456400,3,4,0,1
2012-06-13,205100,3,4,0,1
2012-06-14,150700,3,4,0,1
2012-06-15,327300,3,4,0,1
2012-06-16,268600,2,4,0,4
2012-06-17,174700,3,4,0,1
2012-06-18,229200,3,4,0,1
2012-06-19,273900,3,4,0,1
2012-06-20,271800,3,4,0,1
2012-06-21,308800,3,4,0,1
2012-06-22,157800,3,4,0,1
2012-06-23,88900,2,4,0,4
2012-06-24,39100,3,4,0,1
2012-06-25,261900,3,4,0,1
2012-06-26,215200,3,4,0,1
2012-06-27,92800,3,4,0,1
2012-06-28,104700,3,4,0,1
2012-06-29,208500,3,4,0,1
2012-06-30,124600,2,4,0,4
2012-07-01,410800,3,4,0,1
2012-07-02,257900,3,4,0,1
2012-07-03,290000,3,4,0,1
2012-07-04,138600,3,4,0,1
2012-07-05,271700,3,4,0,1
2012-07-06,157300,3,4,0,1
2012-07-07,227300,2,4,0,4
2012-07-08,175500,3,4,0,1
2012-07-09,283700,3,4,0,1
2012-07-10,382000,3,4,0,1
2012-07-11,182900,3,4,0,1
2012-07-12,168700,3,4,0,1
2012-07-13,200500,3,4,0,1
2012-07-14,195700,2,4,0,4
2012-07-15,203500,3,4,0,1
2012-07-16,239000,3,4,0,1
2012-07-17,248900,3,4,0,1
2012-07-18,123500,3,4,0,1
2012-07-19,126800,3,4,0,1
2012-07-20,86100,3,4,0,1
2012-07-21,131700,2,4,0,4
2012-07-22,93700,3,4,0,1
2012-07-23,100200,3,4,0,1
2012-07-24,196000,3,4,0,1
2012-07-25,377600,3,4,0,1
2012-07-26,150600,3,4,0,1
2012-07-27,53400,3,4,0,1
2012-07-28,95000,2,4,0,4
2012-07-29,86900,3,4,0,1
2012-07-30,89400,3,4,0,1
2012-07-31,179800,3,4,0,1
2012-08-01,269000,3,4,0,1
2012-08-02,142300,3,4,0,1
2012-08-03,220900,3,4,0,1
2012-08-04,268700,2,4,0,4
2012-08-05,112800,3,4,0,1
2012-08-06,142700,3,4,0,1
2012-08-07,176800,3,4,0,1
2012-08-08,163800,3,4,0,1
2012-08-09,170700,3,4,0,1
2012-08-10,119100,3,4,0,1
2012-08-11,30300,2,4,0,4
2012-08-12,67500,3,4,0,1
2012-08-13,105600,3,4,0,1
2012-08-14,150500,3,4,0,1
2012-08-15,200700,6,3,0,5
2012-08-16,178900,6,3,0,5
2012-08-17,80400,6,3,0,5
